User Query,Bot Response
Where is my order?,You can easily track your order! Just go to 'My Orders' > 'Track Order' in the app.
Can you track my order?,Want to know where your order is? Head over to 'My Orders' > 'Track Order' for live updates!
Track my order,Your food is on its way! Check 'My Orders' > 'Track Order' for real-time tracking.
Order tracking,"To see your order status, open 'My Orders' and tap on 'Track Order'."
Check my order status,Tracking your order is simple! Just visit 'My Orders' > 'Track Order' in the app.
How much time will my order take?,"Delivery usually takes 30-35 minutes. To track your order, go to 'My Orders' > 'Track Order'."
When will my order arrive?,Curious about your order status? Find it in 'My Orders' > 'Track Order'.
Expected delivery time?,"For the latest updates on your order, go to 'My Orders' > 'Track Order'."
How long does delivery take?,Your order might be closer than you think! Track it in 'My Orders' > 'Track Order'.
Is my order on the way?,Stay updated on your order's journey by checking 'My Orders' > 'Track Order'.
Show my order details,Your order is on the move! Track its progress in 'My Orders' > 'Track Order'.
Give me order status,Check your estimated delivery time in 'My Orders' > 'Track Order'.
Order update,Get live tracking updates by visiting 'My Orders' > 'Track Order'.
Has my order been dispatched?,Your order is being prepared! Stay informed in 'My Orders' > 'Track Order'.
Track food delivery,See your order's progress in real-time by visiting 'My Orders' > 'Track Order'.
Track my parcel,"To know when your order will arrive, check 'My Orders' > 'Track Order'."
Is my food prepared?,You can find your order details in 'My Orders' > 'Track Order'.
Is my order out for delivery?,Want to know how much time is left? Check 'My Orders' > 'Track Order'.
How to track my order?,Your order is either being prepared or on its way! Confirm in 'My Orders' > 'Track Order'.
Find my order,Find Your order in 'My Orders' > 'Track Order' for more info.
ETA for my order,Your delivery is coming soon! Track it in 'My Orders' > 'Track Order'.
How can I check my order?,Find your estimated delivery time in 'My Orders' > 'Track Order'.
Where can I track my order?,Looking for your order details? Check 'My Orders' > 'Track Order'.
Tell me my order status,"For instant updates, open 'My Orders' > 'Track Order'."
Track my recent order,You can track your food’s journey in 'My Orders' > 'Track Order'.
Did my order get confirmed?,Wondering if your order has been dispatched? Check 'My Orders' > 'Track Order'.
Show me the live tracking of my order,Live tracking available! Just go to 'My Orders' > 'Track Order'.
How much time left for delivery?,Your order might be closer than you think! Find out in 'My Orders' > 'Track Order'.
Can I see my order status?,Stay updated with your order’s latest status in 'My Orders' > 'Track Order'.
Tell me the estimated delivery time,Your food is being prepared! Keep an eye on it in 'My Orders' > 'Track Order'.
Why is my order delayed?,"Delivery usually takes 30-35 minutes. To track your order, go to 'My Orders' > 'Track Order'."
Why is my order late?,"To check if your food is out for delivery, visit 'My Orders' > 'Track Order'."
My order is delayed,Track your order live by going to 'My Orders' > 'Track Order'.
Expected wait time?,Your delivery time is updated in 'My Orders' > 'Track Order'.
How to check my order details?,"For any delivery status updates, check 'My Orders' > 'Track Order'."
Where do I check my food delivery?,Find out your order’s location in 'My Orders' > 'Track Order'.
Delivery tracking option?,Your order status is available anytime in 'My Orders' > 'Track Order'.
How do I know if my order is on the way?,"For an accurate ETA, check 'My Orders' > 'Track Order'."
Is my order still being prepared?,Get real-time tracking updates in 'My Orders' > 'Track Order'.
Is my food out for delivery?,"For your order confirmation, visit 'My Orders' > 'Track Order'."
Help me track my order,"To track your order without delays, visit 'My Orders' > 'Track Order'."
Order time left?,Your food might be arriving soon! Track it in 'My Orders' > 'Track Order'.
Where’s my food?,"If your order is not moving, check 'My Orders' > 'Track Order' for details."
Show my delivery status,Want to know your delivery person’s location? Check 'My Orders' > 'Track Order'.
Give me live order update,"For live order update, go to 'My Orders' > 'Track Order' for updates."
How do I check delivery progress?,"For tracking progress, check 'My Orders' > 'Track Order'."
How long till my order arrives?,Your food is getting ready! Stay updated in 'My Orders' > 'Track Order'.
Expected arrival time?,"For delivery updates, visit 'My Orders' > 'Track Order'."
Tell me my food status,Want to see your order progress? Check 'My Orders' > 'Track Order'.
Where do I find my order status?,"If your order is running late, get details in 'My Orders' > 'Track Order'."
Help with order tracking,Live order tracking is available! Go to 'My Orders' > 'Track Order'.
I can't find my order details,To know the details about your order instantly go to 'My Orders' > 'Track Order'.
"My order is missing, help",Your food is almost here! Find out exactly where in 'My Orders' > 'Track Order'.
Is my delivery running late?,"For real-time updates, visit 'My Orders' > 'Track Order'."
Live location of my order?,Check 'My Orders' > 'Track Order' for all your order-related queries.
Is my order delayed?,Your food journey is being tracked! Check it in 'My Orders' > 'Track Order'.
What is the estimated time of arrival?,Want to see where your order is right now? Go to 'My Orders' > 'Track Order'.
Delivery time update?,Your order tracking is just a click away! Visit 'My Orders' > 'Track Order'.
Tracking link for my order?,You can easily track your order! Just go to 'My Orders' > 'Track Order' in the app.
Food order progress check?,Want to know where your order is? Head over to 'My Orders' > 'Track Order' for live updates!
Track my latest order,Your food is on its way! Check 'My Orders' > 'Track Order' for real-time tracking.
Where can I find my order details?,To find your order details headover to 'My Orders' in the app. 
